id;source;source_id;target;target_id;label;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Ar;Ar0;Ar_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x000001C04C6C9908;fuel;out1;internal combustion engine;in4;fuel:out1_internal combustion engine:in4;[];[];nan;False;False;0.13681156382800916;kg / s;0.13681156382800916;False;nan;nan;nan;False;1.05;bar;1.05;False;nan;nan;nan;False;898785.0530508704;J / kg;898785.0530508704;False;nan;nan;nan;False;19.999999999985448;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.19757881154476648;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;1;1;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x000001C04C6C9348;ambient;out1;internal combustion engine;in3;ambient:out1_internal combustion engine:in3;[];[];nan;False;False;2.3585385049075933;kg / s;2.3585385049075933;False;nan;nan;nan;False;1.05;bar;1.05;True;nan;nan;nan;False;293554.05152146384;J / kg;293554.05152146384;False;nan;nan;nan;False;20.0;C;nan;True;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;1.8898998030315663;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;True;0;0;True;0.0004;0.0004;True;0.0;0.0;True;0.7553;0.7553;True;0.2314;0.2314;True;False
0x000001C04C6C9EC8;internal combustion engine;out3;flue gas splitter;in1;internal combustion engine:out3_flue gas splitter:in1;[];[];nan;False;False;2.4953500687356027;kg / s;2.4953500687356027;False;nan;nan;nan;False;1.05;bar;1.05;False;nan;nan;nan;False;1189956.5979754485;J / kg;1189956.5979754485;False;nan;nan;nan;False;518.1461262128082;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;5.637782945606788;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850993;0.7138894678850993;False;0.0;0.0;False;False
0x000001C04C6CF4C8;flue gas splitter;out1;flue gas cooler;in1;flue gas splitter:out1_flue gas cooler:in1;[];[];nan;False;False;2.495350068735603;kg / s;2.495350068735603;False;nan;nan;nan;False;1.05;bar;1.05;False;nan;nan;nan;False;1189956.5979754487;J / kg;1189956.5979754487;False;nan;nan;nan;False;518.1461262128082;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;5.637782945606789;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850993;0.7138894678850993;False;0.0;0.0;False;False
0x000001C04C6CFA88;flue gas splitter;out2;chimney bypass;in1;flue gas splitter:out2_chimney bypass:in1;[];[];nan;False;False;0.0;kg / s;0.0;True;nan;nan;nan;False;1.05;bar;1.05;False;nan;nan;nan;False;1189956.5979754485;J / kg;1189956.5979754485;False;nan;nan;nan;False;518.1461262128082;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;0.0;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850993;0.7138894678850993;False;0.0;0.0;False;False
0x000001C04C6D4088;flue gas cooler;out1;chimney;in1;flue gas cooler:out1_chimney:in1;['T'];[];nan;False;False;2.4953500687356027;kg / s;2.4953500687356027;False;nan;nan;nan;False;1.0395;bar;1.0395;False;nan;nan;nan;False;752617.1528852624;J / kg;752617.1528852624;False;nan;nan;nan;False;150.0000000000001;C;nan;True;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;3.0445348386069093;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850993;0.7138894678850993;False;0.0;0.0;False;False
0x000001C04C5296C8;cooling water;out1;cooling water pump;in1;cooling water:out1_cooling water pump:in1;[];[];nan;False;False;13.490808849026331;kg / s;13.490808849026331;False;nan;nan;nan;False;10.0;bar;10.0;True;nan;nan;nan;False;210193.3637055548;J / kg;210193.3637055548;False;nan;nan;nan;False;49.999999999998636;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.013648767787624477;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0;0;True;0.0;0.0;True;1.0;1.0;True;0.0;0.0;True;0.0;0.0;True;False
0x000001C04C6D9288;cooling water pump;out1;cooling water splitter;in1;cooling water pump:out1_cooling water splitter:in1;[];[];nan;False;False;13.490808849026331;kg / s;13.490808849026331;False;nan;nan;nan;False;10.411265822521234;bar;10.411265822521234;False;nan;nan;nan;False;210245.37339970638;J / kg;210245.37339970638;False;nan;nan;nan;False;50.00396136855733;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.013648545190925147;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x000001C04C6D9988;cooling water splitter;out1;internal combustion engine;in1;cooling water splitter:out1_internal combustion engine:in1;[];[];nan;False;False;6.745404424513165;kg / s;6.745404424513165;False;0x000001C04C6D9F48;1.0;0.0;True;10.411265822521234;bar;10.411265822521234;False;nan;nan;nan;False;210245.37339970638;J / kg;210245.37339970638;False;nan;nan;nan;False;50.00396136855733;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.006824272595462573;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x000001C04C6D9F48;cooling water splitter;out2;internal combustion engine;in2;cooling water splitter:out2_internal combustion engine:in2;[];[];nan;False;False;6.745404424513165;kg / s;6.745404424513165;False;nan;nan;nan;False;10.411265822521234;bar;10.411265822521234;False;nan;nan;nan;False;210245.37339970638;J / kg;210245.37339970638;False;nan;nan;nan;False;50.00396136855733;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.006824272595462573;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
